Popularidad,Duracion_en_ms,Explicitud,Bailabilidad,Energia,Tonalidad,Volumen,Modo,Palabrería,Acustica,Instrumentalidad,En_Vivo,Valencia,Tempo,Firma_de_tiempo,Genero_del_track
32,276213,0.0,0.549,0.631620451171585,4,-8.14621637774559,1,0.0255,0.719,3.06e-06,0.183,0.378,100.47,4,57
70,252040,0.0,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,4,41
50,142640,0.0,0.644,0.42,1,-14.931,0,0.0349,0.795,0.0146,0.4,0.89,132.892,4,88
23,214552,0.0,0.619,0.793,5,-5.838638358753126,1,0.07512349203425729,0.263,0.0,0.0828,0.892,177.991,4,0
0,116893,0.0,0.376,0.371,6,-14.929,1,0.122,0.449,2.28e-06,0.106,0.656,195.668,3,60
35,165373,0.0,0.506,0.943,8,-3.504,1,0.055,0.00788,0.0,0.0267,0.793,111.21,4,30
32,192006,0.0,0.654,0.8403619610870645,9,-4.053,1,0.117,0.0335,0.6,0.274,0.879,121.82,4,59
0,243057,0.0,0.503,0.582,0,-4.324,1,0.0253,0.472,0.0,0.103,0.326,77.321,4,86
20,175466,0.0,0.34,0.379,1,-10.24,1,0.07512349203425729,0.995,0.0134,0.419,0.399,140.034,5,100
86,173947,1.0,0.905,0.563,8,-6.135,1,0.07512349203425729,0.0254,9.71e-06,0.113,0.324,122.1848969801553,4,48
0,307014,0.0,0.71,0.625,6,-9.008,0,0.0295,0.029,1.1e-05,0.108,0.784,140.994,4,19
21,539199,0.0,0.164,0.974,3,-3.140165785131483,0,0.419,0.0106,0.0577,0.973,0.0492,151.852,4,47
31,238866,0.0,0.441,0.796,9,-2.851,0,0.0431,0.0167,2.52e-06,0.166,0.696,118.146,4,44
0,183954,0.0,0.419,0.0273,5,-23.017,0,0.0469,0.991,0.00466,0.0592,0.0786,72.274,3,89
56,235346,0.0,0.488,0.921,8,-4.729,1,0.061,0.00113,0.0,0.13,0.231,95.934,4,30
48,218013,0.0,0.508,0.7878671501564035,8,-6.074,1,0.0408,0.009,2.13e-06,0.136,0.79,160.11,4,67
0,197053,0.0,0.639,0.943,5,-3.542,1,0.136,0.0462,0.0,0.141,0.639,198.051,4,48
55,254333,0.0,0.47,0.806,6,-4.1,1,0.0328,0.0271,0.000142,0.2,0.403,93.853,4,78
21,239159,1.0,0.548,0.631620451171585,10,-8.14621637774559,0,0.0688,0.000105,0.000534,0.484,0.649,105.044,4,47
0,115240,0.0,0.484,0.332,1,-12.639243689155897,1,0.037,0.787,0.0,0.373,0.683,134.999,4,60
47,169465,0.0,0.746,0.629,2,-9.067,0,0.07512349203425729,0.238,0.0,0.934,0.71,126.025,4,73
53,254373,0.0,0.686,0.547,2,-6.461,1,0.0301,0.343,0.0,0.0944,0.169,117.966,4,66
23,309773,0.0,0.561,0.736,5,-10.162,1,0.0662,0.0115,0.000223,0.926,0.356,122.54,4,88
19,154413,0.0,0.427,0.731628737685029,5,-7.452,1,0.18,0.061,0.0,0.117,0.683,177.977,4,56
18,130759,0.0,0.655,0.477,9,-10.722147065303005,1,0.07512349203425729,0.987,3.73e-05,0.117,0.569,122.732,4,100
3,178946,1.0,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,4,84
54,207395,0.0,0.378,0.8417396285833947,3,-4.103,1,0.0501,0.0239,0.0,0.102,0.304,156.095,3,59
21,130639,0.0,0.183,0.27,2,-13.949,0,0.0363,0.879,0.94,0.158,0.0379,136.892,3,25
35,236146,0.0,0.555,0.935,4,-3.6890084130637515,1,0.112,0.0114,0.00176,0.214,0.376,99.475,4,59
23,274466,0.0,0.459,0.856,8,-4.801240729699069,1,0.0491,0.0138,1.3e-06,0.0261,0.645,168.171,4,57
63,193425,0.0,0.659,0.345,11,-8.464,1,0.107,0.106,0.0,0.107,0.338,84.761,4,52
46,272277,0.0,0.616,0.714,7,-3.965,0,0.311,0.243,0.0,0.316,0.695,176.192,4,83
69,222066,0.0,0.46,0.796,0,-4.501,0,0.0333,0.00107,0.0,0.106,0.182,100.011,4,41
26,396533,0.0,0.524,0.974,8,-4.683,0,0.0596,4.55e-05,0.0195,0.978,0.41,122.1848969801553,4,47
43,247756,0.0,0.478,0.877,11,-7.886,0,0.0406,0.503,0.000154,0.361,0.719,88.255,4,90
0,139866,0.0,0.689,0.546,5,-9.254,1,0.0673,0.000464,0.000896,0.239,0.966,120.233,4,62
47,203093,0.0,0.215,0.945,10,-7.201,0,0.0798,0.000639,0.453,0.204,0.603,179.079,4,83
0,231266,0.0,0.796,0.667,5,-4.831,0,0.0392,0.381,0.0,0.221,0.754,97.988,4,86
56,330385,0.0,0.396,0.341,7,-14.836,1,0.0303,0.384,0.568,0.12,0.148,74.203,4,80
0,129817,0.0,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,0.717,123.045,4,27
44,442733,0.0,0.257,0.555,4,-6.301,1,0.0374,0.141,0.000347,0.229,0.285,141.831,4,98
22,204177,0.0,0.48,0.81,8,-7.323,1,0.847,0.807,0.0,0.855,0.412,85.098,3,17
41,154186,0.0,0.833,0.464,1,-7.622,1,0.375,0.0375,3.02e-06,0.111,0.948,82.973,4,85
25,248986,0.0,0.272,0.966,9,-3.576,1,0.0606,1.77e-05,0.121,0.369,0.363,81.911,4,88
0,243057,0.0,0.503,0.582,0,-4.324,1,0.0253,0.472,0.0,0.103,0.326,77.321,4,86
0,194013,0.0,0.787,0.872,9,-2.117,1,0.143,0.0067,0.000193,0.136,0.696,92.025,4,64
70,197549,0.0,0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,4,95
38,177266,0.0,0.554,0.921,2,-4.589,1,0.0758,0.0194,0.0881,0.329,0.7,183.571,1,94
0,155960,0.0,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,4,64
71,235779,0.0,0.856,0.617,10,-8.257305581797858,0,0.084,0.171,0.0,0.0857,0.759,136.081,4,61
